--------- beginning of main
03-12 08:50:07.022  1254  1573 D EGL_emulation: app_time_stats: avg=1000.14ms min=999.66ms max=1000.62ms count=2
03-12 08:50:07.610   733   748 I artd    : Dex parent of /data/app/~~QbfMBCHN6AWoZYT3f3Kpqw==/com.google.android.gms-oHHfKXZhPUL0eAmwN3RZhw==/base.apk is not writable: Permission denied
03-12 08:50:07.610   733   748 I artd    : GetBestInfo checking odex in dalvik-cache (/data/dalvik-cache/x86_64/data@app@~~QbfMBCHN6AWoZYT3f3Kpqw==@com.google.android.gms-oHHfKXZhPUL0eAmwN3RZhw==@base.apk@classes.dex)
03-12 08:50:07.611   733   748 I artd    : Loading /data/dalvik-cache/x86_64/data@app@~~QbfMBCHN6AWoZYT3f3Kpqw==@com.google.android.gms-oHHfKXZhPUL0eAmwN3RZhw==@base.apk@classes.dex with executable: 0
03-12 08:50:07.611   733   748 I artd    : OatFileAssistant test for existing oat file /data/dalvik-cache/x86_64/data@app@~~QbfMBCHN6AWoZYT3f3Kpqw==@com.google.android.gms-oHHfKXZhPUL0eAmwN3RZhw==@base.apk@classes.dex: File /data/dalvik-cache/x86_64/data@app@~~QbfMBCHN6AWoZYT3f3Kpqw==@com.google.android.gms-oHHfKXZhPUL0eAmwN3RZhw==@base.apk@classes.vdex does not exist.
03-12 08:50:07.611   733   748 I artd    : GetBestInfo checking odex next to the dex file (/data/app/~~QbfMBCHN6AWoZYT3f3Kpqw==/com.google.android.gms-oHHfKXZhPUL0eAmwN3RZhw==/oat/x86_64/base.odex)
03-12 08:50:07.611   733   748 I artd    : Loading /data/app/~~QbfMBCHN6AWoZYT3f3Kpqw==/com.google.android.gms-oHHfKXZhPUL0eAmwN3RZhw==/oat/x86_64/base.odex with executable: 0
03-12 08:50:07.612   733   748 I artd    : Successfully loaded /data/app/~~QbfMBCHN6AWoZYT3f3Kpqw==/com.google.android.gms-oHHfKXZhPUL0eAmwN3RZhw==/oat/x86_64/base.odex with executable: 0
03-12 08:50:07.612   733   748 I artd    : /data/app/~~QbfMBCHN6AWoZYT3f3Kpqw==/com.google.android.gms-oHHfKXZhPUL0eAmwN3RZhw==/oat/x86_64/base.odex is kOatUpToDate with filter speed-profile
03-12 08:50:07.613   733   748 I artd    : Dex parent of /data/app/~~QbfMBCHN6AWoZYT3f3Kpqw==/com.google.android.gms-oHHfKXZhPUL0eAmwN3RZhw==/split_AdsDynamite_installtime.apk is not writable: Permission denied
03-12 08:50:07.613   733   748 I artd    : GetBestInfo checking odex in dalvik-cache (/data/dalvik-cache/x86_64/data@app@~~QbfMBCHN6AWoZYT3f3Kpqw==@com.google.android.gms-oHHfKXZhPUL0eAmwN3RZhw==@split_AdsDynamite_installtime.apk@classes.dex)
